Type,Market,Accuracy,Balanced Accuracy,F1 Score
LIME,USDEUR,0.5402298850574713,0.5412507339988256,0.6363636363636364
LIME,USDJPY,0.5134099616858238,0.5155844155844156,0.5096525096525097
LIME,USDGBP,0.47126436781609193,0.5191341784262138,0.5892857142857143
LIME,USDCHF,0.4521072796934866,0.4646675678997173,0.43027888446215135
LIME,USDNZD,0.4904214559386973,0.5055294117647059,0.6189111747851004
LIME,USDCAD,0.5363984674329502,0.5421589688506983,0.5254901960784314
LIME,USDSEK,0.49808429118773945,0.48917914848449107,0.39631336405529954
LIME,USDDKK,0.5172413793103449,0.5167704417293233,0.5
LIME,USDNOK,0.47509578544061304,0.47195767195767196,0.41201716738197425
LIME,EURJPY,0.47126436781609193,0.47586206896551725,0.46511627906976744
LIME,EURGBP,0.4827586206896552,0.4927595950082411,0.5602605863192182
LIME,EURCHF,0.4521072796934866,0.4962960768045514,0.6124661246612466
LIME,EURNZD,0.5095785440613027,0.5083705357142857,0.47107438016528924
LIME,EURCAD,0.4827586206896552,0.48756613756613754,0.5392491467576792
LIME,EURSEK,0.46360153256704983,0.45937537039231957,0.4117647058823529
LIME,EURDKK,0.5900383141762452,0.5014261439495085,0.7409200968523003
LIME,EURNOK,0.5325670498084292,0.5265588235294117,0.5986842105263157
