,USDEUR,USDJPY,USDGBP,USDCHF,USDNZD,USDCAD,USDSEK,USDDKK,USDNOK,EURJPY,EURGBP,EURCHF,EURNZD,EURCAD,EURSEK,EURDKK,EURNOK
2019-01,0.03557014077069098,0.013274396363727181,0.013620418543636159,-0.06805953367371442,0.03898228297529727,0.02978347236226586,-0.106543482985888,0.035873092332650014,0.1123007982816615,0.342884637752483,-0.28173625493651544,0.06682583181512047,0.025509406372536958,0.16184485552738215,0.13367131022421486,0.039633382261217154,0.02049215155244255
2019-02,-0.036295148560616664,-0.03301755164702991,-0.03239205384143462,0.06605574600188069,-0.1792735261217926,0.09673166431080071,-0.1337626164042538,-0.019042416432812903,0.08428430930341735,-0.015734697264857544,0.04309838961593648,0.030622360245091684,-0.272576031913474,0.01647819444379195,-0.1113710502449905,-0.0002636935565680787,-0.06232309981626383
2019-03,-0.004981037735385385,-0.02117342510287168,0.14422309135110334,-0.053440820978523096,-0.09667122287506658,0.0892654377388502,0.23761258809088526,0.06560563924787877,-0.006364369100064771,0.051928107724641404,-0.04674498442441832,0.034517155348456896,-0.20533097364450192,-0.14982560408327572,0.1531424686490146,0.010317443477780852,-0.002556693003219479
2019-04,0.06837723011900998,-0.001863924723288779,-0.06374853897060939,0.039326006288475934,-0.08155238124092357,-0.15550485143019932,0.09649911508298192,0.02260755510525847,-0.14073374023030327,0.005055467425052473,0.02757569431081075,-0.1472609654159518,0.28623605009829856,0.06145792674694395,0.1127185192620006,0.02882143471182319,-0.008256773065962175
2019-05,-0.05144157122948245,0.033685981296982526,0.042988095425855466,0.07978368491571297,0.12361534829474774,-0.0731034381696638,0.09236830287381315,-0.08895413861127466,0.002138181782973536,-0.06558310795234945,0.12639016451301277,0.04440381432971874,-0.167038162520039,0.011674952015028328,-0.15508603234024587,0.018897798631400953,-0.1632185437554723
2019-06,0.045154081915066424,-0.08569618682093827,0.0035188893756421535,0.1584031044676304,0.023638746713283698,0.12757245040824206,0.059950406839703874,0.0073578965409382135,-0.030820818726629007,-0.047646689654012864,-0.06048804304790156,0.0026235380843786515,0.016130300239614037,0.11294544662679984,-0.07577487356061896,0.009373343062746287,-0.028417716423101425
2019-07,-0.0007817734597681536,-0.011438610948633077,-0.03982144298370072,0.0680514787957831,-0.17314234105992865,0.014625226745290654,0.15062769823457334,0.05765213815773773,0.0002957563391192686,0.10566201222652616,-0.011499049074759071,-0.04335055321368353,-0.058302561193201985,-0.035722296198748005,-0.2025135341869877,0.0001489070223348321,0.08329715063680743
2019-08,-0.10555104201771526,0.04400155711131726,0.011874127823419123,0.13773040543740844,-0.028220584479743405,-0.0022707807797228696,0.005847688378868288,0.005587519041039268,0.09546425384125978,-0.06767378862803097,-0.05811905455377353,-0.0726489638022354,0.1283444119031807,0.07843138516132608,0.08660766741840353,0.009513511837389022,0.09819129843822161
2019-09,-0.07264849368274762,0.03384195870836937,0.030406178412401008,0.07500549961287906,0.1086581496354766,-0.12887976420269398,0.18532436314619982,-0.021674739213251026,-0.07438373571232448,0.07098545496375674,0.045893251591433426,-0.017133107435152173,-0.04568365930430751,-0.04445455497038564,-0.16344677491108017,0.035813526850836386,-0.09198749408267926
2019-10,-0.030782665729489622,-0.027881235807469817,-0.14098472102354043,0.022330103887679975,0.09313369072366795,-0.0115646971075134,0.2234661785853742,-0.009141473707308112,-0.003331072004675306,0.06184420941391933,0.132549261604753,0.00499220722369742,0.04098444768081411,0.1316995204995841,-0.07820602802910415,0.013250484051219313,-0.04049024313900196
2019-11,-0.05209075550551834,-0.05448960748049014,-0.23039603039566314,0.0006815779555968682,-0.606526571673005,-0.06716528067098881,-0.0320153990455152,0.025918884978681778,0.05609074087286059,-0.08020766905840748,0.10826073833725136,-0.07116482970306315,-0.26295593375122994,-0.11665213861815626,0.1108744629131242,-0.002002974018855408,0.5112137966926444
2019-12,-0.09570232221052244,0.03055849808435429,0.0053204941556361796,0.015572064551716558,0.13289132168139428,-0.0429353979704894,-0.16001256570444822,-0.005987509444160821,-0.012188475184637948,0.02190800616731492,0.0673632956029735,-0.01231222791229225,0.03651618493604181,-0.04191851393212653,-0.06577559762293017,0.03135485566125862,0.20084231454144952
