,USDEUR,USDJPY,USDGBP,USDCHF,USDNZD,USDCAD,USDSEK,USDDKK,USDNOK,EURJPY,EURGBP,EURCHF,EURNZD,EURCAD,EURSEK,EURDKK,EURNOK
Best,2019-04,2019-08,2019-03,2019-06,2019-12,2019-06,2019-10,2019-03,2019-01,2019-01,2019-11,2019-01,2019-04,2019-01,2019-03,2019-12,2019-12
Worst,2019-08,2019-06,2019-10,2019-03,2019-07,2019-09,2019-02,2019-05,2019-04,2019-11,2019-06,2019-04,2019-11,2019-11,2019-09,2019-02,2019-02
