Name,Mean,Std,Skewness,Kurtosis,K-S test p-value,Durbin-Watson statistic
EURNZD,1.7623822329381098,0.20456583053360086,1.2533048593806295,1.6809974612047673,1.6864256896527102e-49,5.03175176115878e-05
USDCHF,1.0320896499579706,0.1205080778376552,0.7600709712640152,-0.4063845600465372,3.8363582995129286e-110,4.84583518952051e-05
EURCHF,1.3097127351521525,0.20148100714830777,0.40564480916778584,-1.4076501676077087,2.751056130211475e-141,2.6823809956713177e-05
USDEUR,0.7954132702550731,0.0774839860776908,0.13894238209416537,-0.9148142210497419,9.07927007487408e-26,5.3165311587286e-05
USDGBP,0.6421792219704671,0.08939157582325881,0.20261815860377605,-0.7835264761880434,7.798305786868855e-23,3.6706583293071555e-05
EURNOK,8.49910678758025,0.7540442650871574,0.46645927833138817,-1.0581863102024713,2.100160862343911e-64,2.5331744334391982e-05
EURSEK,9.486590224200773,0.6169517474626977,0.7267612458921481,0.01513200800096648,1.8983539487768695e-67,2.1574740082405746e-05
USDNZD,1.3932092371540148,0.14433983267142114,0.8412822432387986,1.6224675996194788,1.8006534000828044e-06,7.1108043212235e-05
USDCAD,1.1535458950912014,0.1283487083674335,0.1572503352195576,-1.4073749688966104,1.3992503386067716e-45,3.2520152769550225e-05
EURDKK,7.451355985175805,0.009658356827244592,-0.11328277169291338,-0.17813344589553548,7.533931950759532e-21,8.451650529648113e-08
USDSEK,7.5595235292992555,0.9900842365217686,0.4090405317644976,-0.9868268594538803,1.4149167312510898e-41,5.89728740286125e-05
USDJPY,103.52300577919956,13.25157596582635,-0.5641854484617183,-0.7939304938175344,1.1282041043514974e-40,5.8777365441068624e-05
USDDKK,5.923671485582988,0.5792272068114265,0.14383433453222993,-0.9267324104514194,1.2300412537863237e-25,3.44642018783769e-05
EURJPY,130.57502231543924,16.059643286010722,0.25418225248438214,-0.17791972682100976,2.593478064933675e-12,5.6826039035531475e-05
EURCAD,1.4510423906180066,0.09093825912314984,-0.03228581027355982,-0.37888991443698483,0.06997504526639053,3.548006842036083e-05
EURGBP,0.8074017441144488,0.07805920973324194,-0.5166349028515442,-1.0890003106075783,1.2976932915027967e-58,2.958119030579006e-05
USDNOK,6.799746389614934,1.1656241218930103,0.5138271735142319,-1.2183845769273416,2.8089472587980493e-92,5.768030762829748e-05
